,sample_mean_score,sample_variance_score,scores,Actor (Policy Function) Loss_mean,Critic (Value Function) MSE Loss_mean,Actor (Policy Function) Loss_variance,Critic (Value Function) MSE Loss_variance
39,0.6557500000000028,0.5086558333333348,0.990000000000004,0.0,0.0,0.0,0.0
40,0.6343902439024418,0.5146452439024405,-0.21999999999999864,0.0,0.0,0.0,0.0
41,0.6223809523809551,0.5081502903600479,0.1300000000000019,0.0,0.0,0.0,0.0
42,0.6448837209302354,0.5178255813953503,1.5900000000000045,0.0,0.0,0.0,0.0
43,0.638181818181821,0.507759408033828,0.350000000000003,0.0,0.0,0.0,0.0
44,0.634222222222225,0.49692494949495086,0.4600000000000035,0.0,0.0,0.0,0.0
45,0.6341304347826116,0.48588256038647476,0.6300000000000037,0.0,0.0,0.0,0.0
46,0.6159574468085135,0.4908419981498626,-0.21999999999999864,0.0,0.0,0.0,0.0
47,0.6079166666666695,0.48350195035461124,0.2300000000000031,0.0,0.0,0.0,0.0
48,0.6075510204081661,0.47343554421768835,0.590000000000003,0.0,0.0,0.0,0.0
49,0.6284000000000028,0.48550759183673603,1.6500000000000046,0.0,0.0,0.0,0.0
50,0.6141176470588263,0.4862007058823543,-0.09999999999999842,0.0,0.0,0.0,0.0
51,0.623653846153849,0.4813961915535458,1.1100000000000032,0.0,0.0,0.0,0.0
52,0.6179245283018896,0.47387830188679375,0.3200000000000027,0.0,0.0,0.0,0.0
53,0.6498148148148176,0.5198546820405324,2.340000000000004,0.0,0.0,0.0,0.0
54,0.6507272727272755,0.5102735353535367,0.7000000000000028,0.0,0.0,0.0,0.0
55,0.6439285714285742,0.503584285714287,0.2700000000000018,0.0,0.0,0.0,0.0
56,0.6435087719298274,0.49460175438596615,0.6200000000000037,0.0,0.0,0.0,0.0
57,0.669310344827589,0.5245363581367225,2.140000000000005,0.0,0.0,0.0,0.0
58,0.6713559322033926,0.5157395090590312,0.7900000000000038,0.0,0.0,0.0,0.0
59,0.6728333333333362,0.5071291242937866,0.7600000000000038,0.0,0.0,0.0,0.0
60,0.6654098360655766,0.5020385792349741,0.22000000000000175,0.0,0.0,0.0,0.0
